"","Dolphin.ID","Dolphin.Name","Sex","Mother.ID","Haplotype","Birth.Date","Birth.Date.Primary.Assigner","Birth.Date.Accuracy","Death.Date","Death.Date.Primary.Assigner","Death.Date.Accuracy","NextCalfBDay","NextCalfBDayAccuracy","NextCalfName","NextCalfID","NextCalfBDayAssigner","Mom.Name","MomBDay","MomDDay","CalfAgeDeath","MomAgeBirth","TimeToNextBirth","DeathMonth","Season","Present","CalfAgeDeathYrs","EventCensored","MomDeadCensored","MomAliveCensored","TimeToEvent","CalfAgeDeathCategories","a.Calf.under.3mo","b.Calf.3mo.to.1y","c.Calf.1y.to.2y","d.Calf.2y.to.3y"
"11","BLP","BLOOPER","UNKNOWN","BLI","E",2012-08-23,"JM","DAY ESTIMATE",2013-02-06,"JM","MONTH ESTIMATE",NA,NA,NA,NA,NA,"BLIP",1970-11-01,NA,167,41.8097193702943,NA,2,0,2025-03-30,0.457221081451061,0,0,1,12.1423682409309,"b.Calf.3mo.to.1y",0,1,0,0
"12","DOA","DOONA","UNKNOWN","BLK","A",2011-11-22,"EK","DAY ESTIMATE",2012-04-13,"SAS","MONTH ESTIMATE",2013-08-01,"WEEK ESTIMATE","SNUGGIE","SGG","MMW","BLANKIE",1996-11-01,NA,143,15.0554414784394,1.30047912388775,4,0,2025-03-30,0.39151266255989,1,0,0,1.30047912388775,"b.Calf.3mo.to.1y",0,1,0,0
"13","QSR","QUASAR","UNKNOWN","BMN",NA,2010-01-01,"JM","MONTH ESTIMATE",2011-02-06,"JM","MONTH ESTIMATE",2012-11-01,"MONTH ESTIMATE","WYNKOOP","WYK","JM","BLUEMOON",1991-11-01,NA,401,18.1683778234086,1.73579739904175,2,0,2025-03-30,1.09787816563997,1,0,0,1.73579739904175,"c.Calf.1y.to.2y",0,0,1,0
"14","WYK","WYNKOOP","UNKNOWN","BMN",NA,2012-11-01,"JM","MONTH ESTIMATE",2013-12-31,"JM","MONTH ESTIMATE",2021-12-01,"MONTH ESTIMATE","CORONA","CNA","VF","BLUEMOON",1991-11-01,NA,425,21.0020533880903,7.91786447638604,12,1,2025-03-30,1.16358658453114,1,0,0,7.91786447638604,"c.Calf.1y.to.2y",0,0,1,0
"15","POG","POGO","UNKNOWN","BNG","H",2014-10-06,"JM","WEEK ESTIMATE",2015-08-27,"JM","DAY ESTIMATE",2017-11-07,"WEEK ESTIMATE","FLEX","FLE","CBK","BUNGIE",2000-11-01,NA,325,13.927446954141,2.19849418206708,8,0,2025-03-30,0.889801505817933,1,0,0,2.19849418206708,"b.Calf.3mo.to.1y",0,1,0,0
"16","BUN","BUN",NA,"BRE","A",1995-11-01,"JM","MONTH ESTIMATE",1996-11-22,"JM","MONTH ESTIMATE",1998-03-01,"MONTH ESTIMATE","BREKI","BRK","JM","BREAD",1977-11-01,NA,387,17.9986310746064,1.2703627652293,11,1,2025-03-30,1.05954825462012,1,0,0,1.2703627652293,"c.Calf.1y.to.2y",0,0,1,0
"17","BGT","BAGUETTE","UNKNOWN","BRE","A",2013-09-01,"EK","WEEK ESTIMATE",2014-04-11,"JM","MONTH ESTIMATE",2019-11-01,"DAY ESTIMATE","BRICOLE","BCE","MHM","BREAD",1977-11-01,NA,222,35.8329911019849,5.55783709787817,4,0,2025-03-30,0.607802874743327,1,0,0,5.55783709787817,"b.Calf.3mo.to.1y",0,1,0,0
"18","BOZ","BONZER","UNKNOWN","BSS","A",2015-11-08,"JM","DAY ESTIMATE",2016-01-10,"JM","DAY ESTIMATE",2017-01-31,"DAY ESTIMATE","DIVINE","DIV","CCC","BLISS",1998-12-12,2019-07-26,63,16.9062286105407,1.05954825462012,1,1,2025-03-30,0.172484599589322,1,0,0,1.05954825462012,"a.Calf.under.3mo",1,0,0,0
"19","DIV","DIVINE","UNKNOWN","BSS","A",2017-01-31,"CCC","DAY ESTIMATE",2017-04-14,"EK","WEEK ESTIMATE",2018-10-27,"DAY ESTIMATE","BADABING","BDA","TCC","BLISS",1998-12-12,2019-07-26,73,18.1382614647502,1.53593429158111,4,0,2025-03-30,0.199863107460643,1,0,0,1.53593429158111,"a.Calf.under.3mo",1,0,0,0
"20","BDA","BADABING","FEMALE","BSS","A",2018-10-27,"TCC","DAY ESTIMATE",2019-04-07,"JM","DAY ESTIMATE",NA,NA,NA,NA,NA,"BLISS",1998-12-12,2019-07-26,162,19.8740588637919,NA,4,0,2025-03-30,0.4435318275154,0,1,0,0.301163586584531,"b.Calf.3mo.to.1y",0,1,0,0
"21","BLT","BLOAT",NA,"BUL",NA,1992-11-01,"JM","MONTH ESTIMATE",1993-10-04,NA,"MONTH ESTIMATE",1997-11-01,"MONTH ESTIMATE","SURGE","SRG","CF","BULGE",1972-11-01,2003-05-01,337,20,4.0766598220397,10,1,2025-03-30,0.922655715263518,1,0,0,4.0766598220397,"b.Calf.3mo.to.1y",0,1,0,0
"22","SRG","SURGE",NA,"BUL",NA,1997-11-01,"CF","MONTH ESTIMATE",1998-03-20,"JM","MONTH ESTIMATE",2000-10-28,"WEEK ESTIMATE","BURST","BST","RW","BULGE",1972-11-01,2003-05-01,139,24.9993155373032,2.60917180013689,3,0,2025-03-30,0.380561259411362,1,0,0,2.60917180013689,"b.Calf.3mo.to.1y",0,1,0,0
