"","Mother.ID","Dolphin.Name","NextCalfName","Death.Date","NextCalfBDay","Observation.ID","Observation.Date","Dolphin.ID.Certainty","Mom.Name","MomBDay","MomDDay","CensoredFour","ObsCount","Gap","dup"
"58","COR","GOALIE","OFFSIDE",2009-05-11,2010-09-23,17498,2010-05-18,"HIGH","CORNER",1990-10-01,2011-05-01,0,16,158,FALSE
"59","EED","GREEDY","PEEWEE",2004-10-12,2005-11-01,14770,2005-03-27,"HIGH","EED",1974-11-01,2018-05-01,0,20,133,FALSE
"60","HRA","HADES","HESTIA",2009-01-22,2010-09-03,17402,2010-04-06,"HIGH","HERA",1973-11-01,2017-05-01,0,14,152,FALSE
"61","HAL","HALFPINT",NA,1997-01-15,NA,5271,1997-06-12,"HIGH","HALFLUKE",1965-11-01,1998-05-01,0,32,32,FALSE
"62","POL","HALLOWEEN",NA,2016-06-23,NA,22077,2017-05-16,"HIGH","POLTERGEIST",1994-11-01,2019-05-01,0,18,305,FALSE
"63","PIC","HARP","DIZI",2015-12-14,2017-01-08,21832,2016-08-14,"HIGH","PICCOLO",1992-12-06,NA,0,50,25,FALSE
"64","HRA","HERCULES","HADES",2006-07-29,2008-07-08,16251,2007-05-22,"HIGH","HERA",1973-11-01,2017-05-01,0,14,248,FALSE
"65","HAL","HIPPIE","HALFPINT",1993-12-09,1995-11-01,4131,1995-07-22,"HIGH","HALFLUKE",1965-11-01,1998-05-01,0,18,348,FALSE
"66","HOL","HOBBIT",NA,1994-03-19,NA,4128,1995-07-22,"HIGH","HOLEYFIN",1960-11-01,1995-07-26,0,104,307,FALSE
"67","EDE","HOLIDAY","SUMMER",2016-03-27,2019-02-04,22075,2017-05-16,"HIGH","EDEN",2003-11-19,NA,0,84,222,FALSE
"68","HUL","HOOP","OAHU",2000-02-05,2005-11-01,12416,2003-07-06,"HIGH","HULA",1980-11-01,2008-05-01,0,132,332,FALSE
"69","FAT","HUCKLEBERRY","TWIGGY",1994-02-07,1996-10-06,4123,1995-07-21,"HIGH","FATFIN",1972-11-01,2005-05-01,0,245,306,FALSE
"70","HOH","HUCKSTER","HAMLET",1989-03-25,1990-11-27,1870,1990-10-21,"HIGH","HOLEYHOLE",1965-11-01,2001-05-01,0,46,434,FALSE
"71","FRA","HYDE",NA,2009-01-28,NA,17802,2010-11-09,"HIGH","FRANKENFIN",1974-11-01,2012-05-01,0,15,425,FALSE
"72","FRA","IGOR","SWAMPTHANG",1997-11-30,2003-12-15,10895,2002-07-22,"HIGH","FRANKENFIN",1974-11-01,2012-05-01,0,45,683,FALSE
"73","JAB","JAWBREAKER",NA,2004-06-03,NA,15779,2006-07-20,"HIGH","JABBERJAW",1976-11-01,2008-05-01,0,8,669,FALSE
"74","JNI","JUMULU",NA,2014-08-05,NA,21792,2016-07-11,"HIGH","JUNIPER",1982-11-01,2019-05-01,0,14,306,FALSE
"75","SCT","KAWASAKI",NA,2013-02-06,NA,20713,2015-06-20,"HIGH","SCOOTER",1987-11-01,NA,0,10,620,FALSE
"76","KIY","KHAMUN","WIRRIYA",2010-08-21,2012-11-06,18241,2012-06-12,"HIGH","KIYA",1997-12-13,NA,0,204,185,FALSE
"77","NOO","KINDLE",NA,2013-02-01,NA,19324,2013-10-25,"HIGH","NOOK",1974-11-01,2014-05-01,0,42,36,FALSE
"78","RIP","KIPLING","NEWT",2006-11-11,2009-12-01,17272,2009-10-25,"HIGH","RIPLEY",1993-12-01,NA,0,8,477,FALSE
"79","KIY","KISSGOODBYE","KHAMUN",2008-12-22,2009-12-27,17156,2009-09-14,"HIGH","KIYA",1997-12-13,NA,0,176,38,FALSE
"80","HOL","KOORDA","NEVERSEEN",1989-01-22,1990-02-01,1030,1989-05-31,"HIGH","HOLEYFIN",1960-11-01,1995-07-26,0,88,48,FALSE
"81","JAS","KORAL","JAPONICA",2014-10-11,2018-01-01,22203,2017-06-09,"HIGH","JASMINE",1979-11-01,2020-05-01,0,62,274,FALSE
"82","SAS","LEMONGRASS","ROOTBEER",2008-01-20,2009-10-26,16869,2009-06-08,"HIGH","SASSAFRAS",1995-11-01,2014-05-01,0,9,317,FALSE
"83","LEN","LIMA","DAHL",2016-03-13,2020-10-30,25514,2019-05-28,"HIGH","LENTIL",2002-02-15,NA,0,237,236,FALSE
"84","LIC","LOLLY","LENTIL",2000-02-02,2002-02-15,9146,2001-04-28,"HIGH","LICK",1984-11-01,NA,0,308,182,FALSE
"85","LEN","LOSER","LIMA",2014-03-31,2015-12-01,20421,2015-05-15,"HIGH","LENTIL",2002-02-15,NA,0,165,147,FALSE
"86","MUN","LUNCH","SLURP",1987-01-03,1988-10-01,683,1988-05-05,"HIGH","MUNCH",1967-11-01,2006-09-01,0,78,257,FALSE
"87","HBB","MALMESBURY",NA,2013-02-05,NA,19657,2014-06-20,"HIGH","HOBBES",1981-11-01,2017-05-01,0,22,203,FALSE
"88","GAB","MANU",NA,2016-02-02,NA,25275,2018-10-01,"HIGH","GABRIELLA",1990-11-01,NA,0,20,474,FALSE
"89","DUC","MARQUIS",NA,2015-03-20,NA,25247,2018-09-16,"HIGH","DUCHESS",1993-12-22,NA,0,24,436,FALSE
"90","MUN","MAYBENOT","ALMOSTWAS",1996-03-14,1999-11-15,6279,1998-05-16,"HIGH","MUNCH",1967-11-01,2006-09-01,0,312,183,FALSE
"91","MUN","MAYHEM","BARELYEXISTED",1991-03-26,1992-09-15,2404,1991-08-16,"HIGH","MUNCH",1967-11-01,2006-09-01,0,78,57,FALSE
"92","BYT","MEGABYTE","GOOGLE",2005-05-13,2008-12-01,16498,2008-06-06,"HIGH","BYTFLUKE",1972-11-01,NA,0,72,306,FALSE
"93","MIN","MICKEY",NA,2004-04-18,NA,16310,2007-06-11,"HIGH","MINI",1965-11-01,2009-05-01,0,84,242,FALSE
"94","ASN","MILA","TATE",2019-03-01,2020-10-01,26249,2019-10-18,"HIGH","ASHTON",2004-01-01,NA,0,19,84,FALSE
"95","COI","MINAJ","CARDI B",2019-03-31,2020-11-01,25985,2019-10-08,"HIGH","COOLIO",1999-11-01,NA,0,10,97,FALSE
"96","HOH","MOLEY",NA,1997-03-01,NA,8810,2000-09-04,"HIGH","HOLEYHOLE",1965-11-01,2001-05-01,0,84,358,FALSE
"97","TRE","MORRIS","ROOTS",1990-06-03,1994-11-01,3142,1993-05-04,"HIGH","TREETRUNX",1970-11-01,2003-05-01,0,51,511,FALSE
"98","MOO","MOXIE",NA,2005-12-11,NA,17194,2009-09-27,"HIGH","MOOPS",1972-11-01,2017-05-01,0,24,384,FALSE
"99","UHF","MUF","URCHIN",1989-01-13,1990-10-01,1319,1990-03-30,"HIGH","UHF",1967-11-01,2003-05-01,0,80,231,FALSE
"100","NIC","NAKITA","HOLIKIN",1994-07-11,1995-08-23,4091,1995-07-05,"HIGH","NICKY",1975-12-29,2015-07-06,0,108,290,FALSE
"101","LIT","NANO","PICO",2012-02-24,2023-02-01,25361,2018-08-25,"HIGH","LITTLE",1987-11-01,NA,0,37,414,FALSE
"102","NOO","NARLY","CAVITY",2006-06-03,2007-11-20,16290,2007-06-04,"HIGH","NOOK",1974-11-01,2014-05-01,0,45,203,FALSE
"103","NIR","NEVERLAND","COBAIN",2016-05-11,2017-12-15,22161,2017-05-31,"HIGH","NIRVANA",2000-11-01,NA,0,9,229,FALSE
"104","HOL","NEVERSEEN","NOVA",1990-02-18,1991-09-03,1604,1990-08-07,"HIGH","HOLEYFIN",1960-11-01,1995-07-26,0,308,64,FALSE
"105","HUL","NIHAU","HOOP",1993-12-15,1999-10-01,4578,1996-07-20,"HIGH","HULA",1980-11-01,2008-05-01,0,168,728,FALSE
"106","NIC","NIPPER","RABBLE",1989-02-08,1990-04-16,1281,1990-03-17,"HIGH","NICKY",1975-12-29,2015-07-06,0,148,213,FALSE
"107","PUC","NONAME","PETAL",1989-01-30,1990-03-02,1020,1989-05-30,"HIGH","PUCK",1976-12-01,2019-03-22,0,124,52,FALSE
"108","HOL","NOVA","HOBBIT",1992-03-25,1993-11-27,3151,1993-05-09,"HIGH","HOLEYFIN",1960-11-01,1995-07-26,0,300,56,FALSE
"109","HUL","OAHU",NA,2006-07-18,NA,16078,2006-09-06,"HIGH","HULA",1980-11-01,2008-05-01,0,6,24,FALSE
"110","FAT","OBE","HUCKLEBERRY",1992-03-27,1993-11-01,2970,1992-09-19,"HIGH","FATFIN",1972-11-01,2005-05-01,0,290,49,FALSE
"111","HAM","OPHELIA","POLONIUS",2003-03-08,2004-08-01,12705,2003-08-16,"HIGH","HAMLET",1990-11-27,2009-05-01,0,12,97,FALSE
"112","PDX","ORBIT",NA,1989-05-18,NA,1302,1990-03-28,"HIGH","POINDEXTER",1966-11-01,1995-05-01,0,58,229,FALSE
"113","SCA","PEARL","CARPE DIEM",1996-12-20,1998-02-01,5317,1997-06-24,"HIGH","SCALLOP",1977-11-01,2018-05-01,0,28,60,FALSE
"114","PUC","PEPE","PICCOLO",1991-06-28,1992-12-06,2765,1992-06-08,"HIGH","PUCK",1976-12-01,2019-03-22,0,224,199,FALSE
"115","ALG","PERIWINKLE","OYSTER",1990-08-31,1991-10-25,2448,1991-08-25,"HIGH","ALGAE",1969-11-01,2004-05-01,0,27,101,FALSE
"116","PUC","PETAL","PEPE",1990-03-07,1991-05-18,2181,1991-05-12,"HIGH","PUCK",1976-12-01,2019-03-22,0,272,42,FALSE
"117","CYR","PINOCCHIO","CLEOPATRA",2002-12-17,2009-01-03,15469,2006-04-30,"HIGH","CYRANO",1989-11-01,NA,0,42,352,FALSE
"118","BNG","POGO","FLEX",2015-08-27,2017-11-07,21535,2016-04-25,"HIGH","BUNGIE",2000-11-01,NA,0,22,241,FALSE
"119","HAM","POLONIUS",NA,2005-08-17,NA,16287,2007-06-03,"HIGH","HAMLET",1990-11-27,2009-05-01,0,18,227,FALSE
"120","PSU","PUDDIN","SYMPHONY",1995-05-19,1996-10-07,4430,1996-06-23,"HIGH","PSEUDOPEE",1966-11-01,2005-05-01,0,21,271,FALSE
"121","SKF","PUFFIN","FLUFFY",2016-03-31,2017-10-14,26501,2017-05-17,"HIGH","SKRUFF",1994-11-01,NA,0,93,222,FALSE
"122","SLI","PUREE",NA,2009-08-04,NA,17920,2011-06-27,"HIGH","SLICE",1979-11-01,2013-11-01,0,28,203,FALSE
"123","BMN","QUASAR","WYNKOOP",2011-02-06,2012-11-01,18411,2012-07-22,"HIGH","BLUEMOON",1991-11-01,NA,0,9,17,FALSE
"124","TRY","QUICKIE",NA,2012-06-15,NA,19731,2014-07-02,"HIGH","TRYCKY",1971-11-01,2015-05-01,0,14,250,FALSE
"125","TWO","RAISIN",NA,1999-06-27,NA,9268,2001-06-17,"HIGH","TWOSCOOPS",1964-11-01,2002-05-01,0,40,232,FALSE
"126","VAM","REDO","RENOVATE",2000-03-25,2003-11-01,10603,2002-06-24,"HIGH","REVAMP",1982-11-01,2010-05-01,0,45,605,FALSE
"127","VAM","RENOVATE","REVIVE",2005-02-13,2006-01-01,15174,2005-08-13,"HIGH","REVAMP",1982-11-01,2010-05-01,0,6,34,FALSE
"128","TUK","ROLL","TUXEDO",2011-02-13,2014-03-01,18396,2012-07-09,"HIGH","TUK",1984-11-01,2016-04-15,0,36,262,FALSE
