"","Dolphin.ID","Dolphin.Name","Sex","Mother.ID","Haplotype","Birth.Date","Birth.Date.Primary.Assigner","Birth.Date.Accuracy","Death.Date","Death.Date.Primary.Assigner","Death.Date.Accuracy","NextCalfBDay","NextCalfBDayAccuracy","NextCalfName","NextCalfID","NextCalfBDayAssigner","Mom.Name","MomBDay","MomDDay","CalfAgeDeath","MomAgeBirth","TimeToNextBirth","DeathMonth","Season"
"214","BUF","BUFF","UNKNOWN","SKF","A",2012-12-06,"DIC","DAY ESTIMATE",2013-03-08,"SAS","WEEK ESTIMATE",2015-10-03,"DAY ESTIMATE","PUFFIN","PFF","EK","SKRUFF",1994-11-01,NA,92,6610,939,3,0
"215","PFF","PUFFIN","UNKNOWN","SKF","A",2015-10-03,"EK","DAY ESTIMATE",2016-03-31,"EK","WEEK ESTIMATE",2017-10-14,"DAY ESTIMATE","FLUFFY","FFY","CBK","SKRUFF",1994-11-01,NA,180,7641,562,3,0
"216","FFY","FLUFFY","UNKNOWN","SKF","A",2017-10-14,"CBK","DAY ESTIMATE",2018-01-28,"EK","MONTH ESTIMATE",2021-12-22,"WEEK ESTIMATE","ZUFF","ZUF","VF","SKRUFF",1994-11-01,NA,106,8383,1424,1,1
"217","VCE","VICE",NA,"SLI","A",2007-01-18,"JM","MONTH ESTIMATE",2008-03-08,"JM","DAY ESTIMATE",2009-08-03,"DAY ESTIMATE","PUREE","PUR","EK","SLICE",1979-11-01,2013-11-01,415,9940,513,3,0
"218","PUR","PUREE",NA,"SLI","A",2009-08-03,"EK","DAY ESTIMATE",2009-08-04,"JM","DAY ESTIMATE",NA,NA,NA,NA,NA,"SLICE",1979-11-01,2013-11-01,1,10868,NA,8,0
"219","ACA","ACACIA","UNKNOWN","SLT","A",2006-11-01,"JM","MONTH ESTIMATE",2008-06-05,"JM","MONTH ESTIMATE",2009-12-15,"MONTH ESTIMATE","LEONARDO","LDO","EMP","SPLINTER",1992-11-01,NA,582,5113,558,6,0
"220","BAL","BALMY",NA,"SOG","A",2004-11-15,"RCC","DAY ESTIMATE",2004-11-29,"JM","WEEK ESTIMATE",2006-01-15,"WEEK ESTIMATE","DAMP","DMP","JM","SOGGY",1991-11-01,NA,14,4763,412,11,1
"221","DEW","DEWDROP","UNKNOWN","SOG","A",2015-11-07,"JM","DAY ESTIMATE",2016-04-14,"EK","DAY ESTIMATE",2017-11-19,"DAY ESTIMATE","DOUSE","DOU","CBK","SOGGY",1991-11-01,NA,159,8772,584,4,0
"222","DNK","DUNK",NA,"SOG","A",2021-12-19,"VF","WEEK ESTIMATE",2022-02-28,"CCC","WEEK ESTIMATE",2023-04-12,"WEEK ESTIMATE","FOGGY","FGY","VF","SOGGY",1991-11-01,NA,71,11006,408,2,0
"223","FGY","FOGGY","MALE","SOG","A",2023-04-12,"VF","WEEK ESTIMATE",2024-02-15,"CCC","DAY ESTIMATE",2025-03-02,"DAY ESTIMATE","CRISPY","CSY","CCC","SOGGY",1991-11-01,NA,309,11485,381,2,0
